Domain,Architecture ADR,gRPC RPCs,SQLite Tables,CLI Commands,Swift Views
Data Model,-,All (defines message types),"worktrees, agents, events, memory",-,Models.swift
CLI,-,All Tier 1,-,All 27 commands,-
Daemon,"Daemon Engine, IPC & API",Health,daemon.db,pu health,-
Agent Lifecycle,Agent Execution,"Spawn, Kill, Restart, Status","agents, events","spawn, kill, restart, status",PpgAgentsView
Worktree Mgmt,-,"WorktreeCreate, Merge, Diff, Clean",worktrees,"worktree, merge, diff, clean",SidebarViewController
Orchestration,-,"Swarm, Spawn",-,"swarm, prompt, list","SwarmsView, PromptsView"
Scheduling,-,Cron*,schedules,cron start/stop/list/add/remove,SchedulesView
Output & Streaming,Agent Execution,"Logs, StreamOutput","output_chunks, summaries","logs, aggregate","TerminalPane, PaneGridController"
Memory,-,Get/SetMemory,memory,-,-
Recovery,Daemon Engine,Recover,"agents, worktrees",recover,-
Desktop App,Desktop App Integration,"WatchProject, StreamOutput","dashboard_entries, grid_layouts",ui,All views
Configuration,-,-,config (future),-,SettingsViewController
