Command,IPC Request,Tier,Notes
pu init,Init,1,Creates .pu/ directory and pu.db
pu spawn,Spawn,1,Most complex command — worktree + agents
pu status,Status,1,Returns full workspace state from daemon
pu kill,Kill,1,Stop agents; optionally remove worktrees
pu attach,Attach,1,Enters interactive attach mode via daemon IPC
pu logs,Logs,1,One-shot pane output capture
pu aggregate,Aggregate,1,Collect result files from agents
pu merge,Merge,1,Squash/no-ff merge worktree back to base
pu swarm,Swarm,1,Spawn from swarm template
pu prompt,Spawn (with prompt),1,May merge with spawn --prompt
pu list,(local),-,List templates/swarms/prompts — may stay client-side
pu restart,Restart,1,Kill + re-spawn an agent
pu recover,Recover,1,May be automatic on daemon startup
pu diff,Diff,1,Show diff for a worktree
pu pr,(local + gh),-,Creates GH PR — may stay client-side
pu reset,Reset,1,Kill all; remove all worktrees
pu clean,Clean,1,Remove terminal-state worktrees
pu send,Send,1,Send input to agent's PTY via daemon
pu wait,Wait,1,Long-poll until agents complete
pu worktree create,WorktreeCreate,1,Standalone worktree without agents
pu ui,(local),-,Opens PurePoint.app
pu cron start,CronStart,1,Daemon handles scheduling natively
pu cron stop,CronStop,1,
pu cron list,CronList,1,
pu cron add,CronAdd,1,
pu cron remove,CronRemove,1,
pu health,Health,1,Daemon version; uptime; counts
